Script,mCap
KRISHANA,3202
SETFNN50,0
SBIETFIT,0
BAJFINANCE,581536
SJS,3966
ORIENTBELL,440
ITETFADD,0
TARC,5473
SAGILITY,19203
MANAPPURAM,23114
ASAHIINDIA,18431
GNFC,7839
BIOCON,41969
SENSEXETF,0
GREENPOWER,1664
SAIL,53041
DELHIVERY,27873
LAGNAM,187
AONENIFTY,0
MSUMI,27115
BBTCL,333
AXISBPSETF,0
HDFCGOLD,0
ZYDUSWELL,13023
IPCALAB,34675
ICEMAKE,1270
ARVSMART,3169
RTNINDIA,8238
JAYBARMARU,847
ATULAUTO,1290
KOTHARIPET,1078
HDFCBANK,1473333
PFIZER,26565
AIROLAM,165
GRWRHITECH,9848
MOBIKWIK,1958
ALLCARGO,3547
VIRINCHI,229
RGL,1343
INDIGO,207765
PFS,2642
IREDA,47227
INDIASHLTR,9645
JIOFIN,186813
ROLEXRINGS,4121
RHIM,10586
HMVL,662
JINDWORLD,5916
DONEAR,570
ABGSEC,0
GATEWAY,3221
CANBK,100468
EQUAL200,0
UNOMINDA,62271
STOVEKRAFT,1954
BANDHANBNK,29275
BALRAMCHIN,12237
TIRUMALCHM,3048
THELEELA,13589
MASTERTR,1795
SMCGLOBAL,1486
PRUDENT,11405
PODDARMENT,334
LANCORHOL,163
HDFCNEXT50,0
GOLD1,0
SALASAR,1412
KHANDSE,39
BANCOINDIA,8677
POCL,2090
AVANTIFEED,10281
SUBROS,6221
HINDCON,185
MRPL,24060
AGARWALEYE,12649
ZENITHSTL,142
AARTECH,216
HINDWAREAP,2455
SANGAMIND,2171
APCOTEXIND,1986
LICHSGFIN,33450
MINDACORP,12923
KAKATCEM,121
NIFMID150,0
ETHOSLTD,7446
ONESOURCE,25139
CONTROLPR,1291
SBISILVER,0
HPL,3519
RAYMOND,3970
MARICO,89717
NRBBEARING,2552
LYKALABS,409
ABSLNN50ET,0
MONQ50,0
ADSL,1036
LAURUSLABS,36797
MOREALTY,0
AARTIDRUGS,4198
KRITINUT,608
MOHITIND,44
NIFTY50ADD,0
AXISVALUE,0
NILKAMAL,2582
ORIENTHOT,2772
BIRLANU,1735
NBCC,32791
GLAND,28973
LANDMARK,2049
HUDCO,45987
HESTERBIO,1571
CASHIETF,0
RPTECH,1979
WCIL,1117
OMAXAUTO,190
CIFL,1658
RPSGVENT,3109
COMPUSOFT,172
NAVA,16097
KRN,4789
SANATHAN,3871
AIAENG,31808
MID150,0
TCPLPACK,3358
CEIGALL,4281
DBEIL,645
HLEGLAS,2970
CARBORUNIV,17733
MSTCLTD,3669
ADROITINFO,59
BANKETFADD,0
LOTUSEYE,152
ATAM,127
JSL,56822
DBREALTY,12562
MGL,14234
COLPAL,65381
BODALCHEM,901
ASALCBR,1929
GLOBALVECT,311
SBICARD,95167
BATAINDIA,15551
AARTIPHARM,8086
GREAVESCOT,4765
VINATIORGA,19905
ASAL,910
VHL,1272
ALBERTDAVD,494
NIVABUPA,15152
RAJOOENG,1935
SAMBHAAV,139
UNIVCABLES,2374
ZENITHEXPO,137
MANINFRA,6148
HDFCLIFE,165374
BIRLACORPN,10461
IWEL,12770
BHARATRAS,4276
CONS,0
UJJIVANSFB,9402
GALLANTT,10923
20MICRONS,829
LICNMID100,0
RADIOCITY,318
KAPSTON,488
AHLADA,90
BHANDARI,134
DIFFNKG,1125
AWHCL,1758
SAMHI,5006
TGBHOTELS,37
HINDOILEXP,2359
MENONBE,671
ALANKIT,415
SAMPANN,117
STERTOOLS,1293
ENDURANCE,34724
BANKBETF,0
NEXTMEDIA,48
FUSION,2722
MOMENTUM,0
HEALTHIETF,0
GSFC,8040
CPSEETF,0
SUNPHARMA,402302
DEEPINDS,2762
DALBHARAT,39369
NITINSPIN,2155
GSS,91
LLOYDSENT,9218
UNITEDTEA,216
EQUITASBNK,7692
RKSWAMY,964
REDTAPE,7098
SHREEPUSHK,1054
MUTHOOTMF,2164
MON100,0
APLLTD,18802
KSCL,6760
SILVRETF,0
GEOJITFSL,2284
BUTTERFLY,1297
ETERNAL,231040
AGI,5272
MINDTECK,799
CHOLAHLDNG,37279
BHAGCHEM,3865
MONARCH,2516
DHAMPURSUG,1001
MNC,0
VISHNU,3844
HERITGFOOD,4205
NMDC,61711
3PLAND,0
ITETF,0
CHEMPLASTS,6847
SWSOLAR,7534
MAKEINDIA,0
TEXRAIL,6795
INDSWFTLTD,91
GSEC10IETF,0
RAMKY,3549
VSTL,293
TATAMOTORS,251982
ESAFSFB,1621
VENUSPIPES,2834
RAJSREESUG,163
NATCOPHARM,16236
SPANDANA,1972
BFUTILITIE,2970
CLEAN,15723
GRMOVER,2259
MTNL,3198
NIFTYETF,0
CONFIPET,1951
BHARATWIRE,1547
PATANJALI,60906
ASKAUTOLTD,9313
BOMDYEING,3201
RESPONIND,5635
MULTICAP,0
PRESTIGE,73149
GUJAPOLLO,454
RACE,441
SADBHIN,192
LTIM,162609
HONAUT,33592
ALPHA,0
GTPL,1324
HDFCMOMENT,0
IFBIND,6485
CENTEXT,167
ARTEMISMED,0
POLYMED,22087
ANTGRAPHIC,22
VLSFINANCE,844
MAHAPEXLTD,159
TORNTPHARM,109873
ATUL,20870
PPL,979
ATL,732
HDFCSENSEX,0
COMSYN,527
UMANGDAIRY,209
SONACOMS,30891
PTL,557
TCIFINANCE,24
AVALON,5614
STEL,760
ALPHAETF,0
FOSECOIND,2974
AONETOTAL,0
JSWINFRA,64220
NIITLTD,1795
BHARATFORG,63284
